movie_title,year,place,star_cast,rating,vote,link
The Shawshank Redemption,1994,1,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.222613448143798,2273665,/title/tt0111161/
The Godfather,1972,2,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.148975372106552,1568586,/title/tt0068646/
The Godfather: Part II,1974,3,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.981327595276008,1095986,/title/tt0071562/
The Dark Knight,2008,4,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.972502573684777,2235931,/title/tt0468569/
12 Angry Men,1957,5,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.929318876308885,666530,/title/tt0050083/
Schindler's List,1993,6,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.906441759953289,1180540,/title/tt0108052/
The Lord of the Rings: The Return of the King,2003,7,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.882821491833429,1601109,/title/tt0167260/
Pulp Fiction,1994,8,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.846001431443309,1776367,/title/tt0110912/
"Il buono, il brutto, il cattivo",1966,9,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.79726336839226,670978,/title/tt0060196/
 The Lord of the Rings: The Fellowship of the Ring,2001,1,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.774679648911961,1616750,/title/tt0120737/
Fight Club,1999,11,"David Fincher (dir.), Brad Pitt, Edward Norton",8.76751778192552,1803530,/title/tt0137523/
Forrest Gump,1994,12,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.752861418824331,1751269,/title/tt0109830/
Inception,2010,13,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.719706749394945,1995056,/title/tt1375666/
Star Wars: Episode V - The Empire Strikes Back,1980,14,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.69925766854684,1129929,/title/tt0080684/
The Lord of the Rings: The Two Towers,2002,15,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.698086220409428,1446837,/title/tt0167261/
The Matrix,1999,16,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.648448490803679,1628453,/title/tt0133093/
Goodfellas,1990,17,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.64348359655079,988919,/title/tt0099685/
One Flew Over the Cuckoo's Nest,1975,18,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.639830002046278,889313,/title/tt0073486/
Shichinin no samurai,1954,19,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.604133128261916,307177,/title/tt0047478/
Se7en,1995,20,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.591806968938574,1398527,/title/tt0114369/
La vita è bella,1997,21,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.583123760696024,604156,/title/tt0118799/
Cidade de Deus,2002,22,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.580772639187698,684725,/title/tt0317248/
The Silence of the Lambs,1991,23,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.574919808970886,1230997,/title/tt0102926/
